,0
capacityPVOptimum,18.462628764876477
capacityStorageOptimum,0.9993073109016987
operationTotOptimumGrid,13105.864447229551
operationTotOptimumPV,11888.268403717506
operationTotOptimumStorageCharge,266.2820652073141
operationTotOptimumStorageDischarge,240.28063261411103
operationTotSink,20217.600000000006
operationTotCO2,4145.371415078048
TAC,213199.8946942892
LCOEPV,0.10678818860101383
LCOESTORAGE,0.3110726595435515
LCOEGRID,0.35000000000000725
selfconsumption,0.997812849465509
selfsufficiency,0.47008292777844507
